station_co,site_name,latitude,longitude,state,rivname,basin_name
RJPRR2655,Peepalkhunt,23.78333333,74.58333333,RAJASTHAN,,
RJJUR2160,Peepar City,26.39166667,73.53555556,RAJASTHAN,,
RJTOW3112,Peeplu,26.29611111,75.71805556,RAJASTHAN,,
RJTOR3156,Peeplu,26.29611111,75.71805556,RAJASTHAN,,
RJAJR0063,Peesangan,26.4,74.5,RAJASTHAN,,
RajSW083,Phagi,26.59111111,75.57861111,RAJASTHAN,,
RJJPR1664,Phagi,26.57777778,75.56,RAJASTHAN,,
RJJPW1609,Phagi,26.57722222,75.55944444,RAJASTHAN,,
RajSW113,Phalodi,27.12777778,72.3675,RAJASTHAN,,
RJJUR2161,Phalodi,27.13333333,72.36666667,RAJASTHAN,,
RJPAW2515,Phulad,25.62305556,73.82111111,RAJASTHAN,,
RajSW093,Phulad,25.61527778,73.81166667,RAJASTHAN,,
RajSW081,Phulera,26.90861111,75.19972222,RAJASTHAN,,
RJJPR1665,Phulera,26.88305556,75.23333333,RAJASTHAN,,
RJBLR0670,Phulia kalan,25.81805556,74.96388889,RAJASTHAN,,
RajSW099,Phutiya,25.19527778,73.2775,RAJASTHAN,,
RJPAW2516,Phutiya,25.22805556,73.21305556,RAJASTHAN,,
RJHAR1554,pilibanga,29.45,74.06666667,RAJASTHAN,,
RJSRR3053,Pindwara,24.8,73.06666667,RAJASTHAN,,
RJKOR2356,Pipalda,25.56694444,76.44888889,RAJASTHAN,,
RajSW041,Pipalkhunt,23.82027778,74.61194444,RAJASTHAN,,
RajSW169,Piplad,24.40694444,75.88944444,RAJASTHAN,,
RajSW022,PIPLADA,25.55333333,76.45944444,RAJASTHAN,,
RJJHR1961,pirawa,24.16083333,76.02805556,RAJASTHAN,,
RajSW030,PIRAWA,24.16444444,76.03027778,RAJASTHAN,,
RJJSR1754,Pokaran,26.91666667,71.93333333,RAJASTHAN,,
B2ahhsjir,Giara,22.91585,87.97839722,WEST BENGAL,Damodar,
6hhsgopi,Gopiballavpur,22.21125278,87.87427778,WEST BENGAL,Kasai N,
b2ampschp,Champadanga,22.83994444,87.96995,WEST BENGAL,Damodar,
b2ahhsedl,Edilpur,23.227375,87.81815,WEST BENGAL,Damodar,
b2ampsamt,Amta,22.573825,87.99859722,WEST BENGAL,Damodar,
b2ahhsjam,Jamalpur,23.06822778,87.98791111,WEST BENGAL,Damodar,
RJBIR0758,Poogal,28.52166667,72.79444444,RAJASTHAN,,
b2ampspas,Panskura,22.39505556,87.71426944,WEST BENGAL,Kasai N,
RJPRR2654,Pratapgarh,24.06666667,74.78333333,RAJASTHAN,,
RajSW254,Pratapgarh,24.03166667,74.77861111,RAJASTHAN,,
RajSW117,Pugal,28.5075,72.81222222,RAJASTHAN,,
RJAJR0064,Pushkar,26.48333333,74.55,RAJASTHAN,,
RJDAW1106,Rahuwas,26.69972222,76.33555556,RAJASTHAN,,
RajSW061,Railmagra,25.02972222,74.11222222,RAJASTHAN,,
b2ahhspas,Panskura,22.39505556,87.71426944,WEST BENGAL,Kasai N,
b2ampsgal,Galsi,23.34473056,87.6825,WEST BENGAL,Damodar,
b2ahqschp,Champadanga,22.83994444,87.96995,WEST BENGAL,Damodar,
b2ahhsmoh,Mohanpur,22.39839444,87.34386944,WEST BENGAL,Kasai N,
b2ahQsamt,Amta,22.573825,87.99859722,WEST BENGAL,Damodar,
b2a,Randia,23.37255556,87.47491667,WEST BENGAL,Damodar,
b2ampsmem,Memari,23.17333333,88.09528056,WEST BENGAL,Damodar,
b2ampsrai,Raina,23.00268611,87.85803333,WEST BENGAL,Damodar,
b2ampspir,Pirorgari,22.85626111,87.00182222,WEST BENGAL,Kasai N,
RJRAR2756,Railmagra,25.03333333,74.13333333,RAJASTHAN,,
739297BC,Madhopur Beas Link at Head,32.33758333,75.59313889,PUNJAB,,
