label,lat,long,riverName,stationGuid,wiskiID
Brinksway,53.407,-2.17491,River Mersey,b27ced8c-bf7d-4d8f-8148-f590ccc35f4c,692524
Eathorpe,52.31619,-1.431452,River Leam,aef77f8a-7da4-4dae-84ea-88f643d8e00d,2050
Deerhurst,51.969234,-2.193572,River Severn,fcb795f4-07bc-4ae0-8372-041644e7f275,2606
Izaak Walton,53.056088,-1.7819,River Dove,73ee60b4-ef40-4579-a060-db2312ea3ce1,4046
Hayne Bridge,50.65805,-4.242004,River Thrushel,dbc64462-fd71-4527-995e-7ba62c05b63c,SX48F012
Upton Mill Total,52.225335,-0.944102,River Nene,361104f3-589a-457f-aa4e-0a99257c6431,32806
Upton Mill,52.226198,-0.946146,River Nene,361104f3-589a-457f-aa4e-0a99257c6431,32006
Drove Lane Main,51.089905,-1.181314,River Alre,2bae7d6b-cd13-4db3-b2e2-aae042af76e3,152202007
Torrington,50.946929,-4.137288,River Torridge,d2d2a44c-25cb-4b0d-b4a5-4929e1d11975,SS51F004
Nunton Bridge,51.036463,-1.771751,River Ebble,3df68add-46f9-42e7-8439-290f63e195cd,432520
Penkridge,52.727473,-2.117061,River Penk,d67c086f-ceb4-48a8-badc-042f2fa0ee1f,4053
Wennington,54.125423,-2.591307,River Wenning,8b386e12-f3d1-4a0b-9e01-3d4367bc9bc1,724326
Highbridge,50.990385,-1.335534,River Itchen,e9c72be8-dea1-4a5d-8af7-05dce5f419ee,152208202
East Mills Flume,50.928396,-1.77706,River Avon,481f8042-997a-44cc-b425-51340d4cee9c,432610
Reading,51.46101,-0.967862,River Thames,f44bf96d-3953-4fec-88bd-30ef4e12e523,2200TH
Rodbourne,51.555123,-2.091808,Gauze Brook,3bf40265-657a-44f4-90e3-e1e437d3c801,530140
St Johns Weir,51.580683,-2.094486,Sherston Avon,e3a8de3e-3bb5-482e-a558-baec0dd88194,530591
Burton Bradstock,50.70158,-2.725793,River Bride,93cd0262-1cf7-45ac-8491-c9815c7fe710,447000
Burton Bradstock,50.701634,-2.725794,River Bride,93cd0262-1cf7-45ac-8491-c9815c7fe710,F447000_FW
Wansford Combined,52.583021,-0.406558,River Nene,8a02b242-5805-4750-b141-c8bfd6028c18,U32610
Tinwell,52.64228,-0.49678,River Welland,da7b6a82-062b-4723-9d9e-8fb7ca9b52c3,31031
River Bain Tattershall,53.102962,-0.188736,River Bain,f35edef4-7f87-4020-8088-95ea60da2b79,30021
Mitford,55.166104,-1.727492,River Wansbeck,9af510f4-5629-465b-81a9-855274a8750a,22007
Pointon Little Wisbech,52.866873,-0.325877,Pointon Lode,6b0cab32-b905-4f3c-a554-cd5176c5d2e4,30014
Crabbs Bridge,51.766944,0.58755,River Ter,4b6b5531-e867-43a1-ac24-ec8868795699,37003
Miller Bridge House,54.429259,-2.970683,River Rothay,a9417599-e466-4b53-babe-0c81229c4328,735022
"[""Beach'S Mill"", ""Beach's Mill""]",51.737703,0.446302,River Can,fcdd7420-c000-4db7-99fa-3835a65372fe,37006
Bragbury Park,51.874477,-0.149495,Stevenage Brook,7765d509-e68b-4ede-8924-42b8bc5bf2a1,4827TH
Goytside Farm,53.357485,-1.996738,River Goyt,b0166a7b-cf7c-4ada-8688-deaa14a01898,692348
Dunbridge,51.034159,-1.548188,River Dun,0e47ccb4-c070-4b46-8885-f3168aa864d5,151811002
Mundesley,52.876012,1.410979,River Mun,fa6a8a63-c8cc-4820-92e4-821b3ccc6889,34021
Catterick Bridge,54.388806,-1.653202,River Swale,2d12f3ed-1ff2-4622-9d7d-bd6483bd1e4f,F2306
Bason Bridge,51.207579,-2.937667,River Brue,cba899d9-2eee-4a91-b0ef-91335aaca422,521191
Stanneylands,53.343667,-2.232387,"['River Dean', 'Dean']",d69fc777-cc14-47e1-993f-283e08920328,693333
Watford Bridge,53.374428,-1.993295,River Sett,4662701f-d016-44e9-8fe2-e50064e5e924,692366
